지역,측정소명,날짜,아황산가스 농도
양구군,양구읍,2021-10-31,0.002
원주시,중앙동,2021-10-31,0.004
원주시,반곡동,2021-10-31,0.003
원주시,문막읍,2021-10-31,0.003
원주시,지정면,2021-10-31,0.002
강릉시,옥천동,2021-10-31,0.002
동해시,천곡동,2021-10-31,0.002
삼척시,남양동,2021-10-31,0.003
평창군,평창읍,2021-10-31,0.002
정선군,정선읍,2021-10-31,0.002
횡성군,횡성읍,2021-10-31,0.002
고성군,상리,2021-10-31,0.002
양양군,양양읍,2021-10-31,0.002
속초시,금호동,2021-10-31,0.004
철원군,갈말읍,2021-10-31,0.003
홍천군,홍천읍,2021-10-31,0.002
영월군,영월읍,2021-10-31,0.003
화천군,화천읍,2021-10-31,0.002
태백시,황지동,2021-10-31,0.003
인제군,인제읍,2021-10-31,0.002
