지역,측정소명,날짜,아황산가스 농도
고성군,상리,2019-03-08,0.002
양양군,양양읍,2019-03-08,0.002
속초시,금호동,2019-03-08,0.007
철원군,갈말읍,2019-03-08,0.004
홍천군,홍천읍,2019-03-08,0.003
영월군,영월읍,2019-03-08,0.002
화천군,화천읍,2019-03-08,0.002
태백시,황지동,2019-03-08,0.003
춘천시,중앙로,2019-03-09,0.003
춘천시,석사동,2019-03-09,0.003
양구군,양구읍,2019-03-09,0.002
원주시,중앙동,2019-03-09,0.004
원주시,반곡동,2019-03-09,0.004
원주시,문막읍,2019-03-09,0.004
강릉시,옥천동,2019-03-09,0.002
동해시,천곡동,2019-03-09,0.004
삼척시,남양동,2019-03-09,0.003
평창군,평창읍,2019-03-09,0.003
정선군,정선읍,2019-03-09,0.004
횡성군,횡성읍,2019-03-09,0.001
고성군,상리,2019-03-09,0.002
양양군,양양읍,2019-03-09,0.002
속초시,금호동,2019-03-09,0.006
철원군,갈말읍,2019-03-09,0.004
홍천군,홍천읍,2019-03-09,0.003
영월군,영월읍,2019-03-09,0.002
화천군,화천읍,2019-03-09,0.002
태백시,황지동,2019-03-09,0.003
춘천시,중앙로,2019-03-10,0.003
춘천시,석사동,2019-03-10,0.003
양구군,양구읍,2019-03-10,0.003
원주시,중앙동,2019-03-10,0.004
원주시,반곡동,2019-03-10,0.004
원주시,문막읍,2019-03-10,0.003
강릉시,옥천동,2019-03-10,0.003
동해시,천곡동,2019-03-10,0.003
삼척시,남양동,2019-03-10,0.003
평창군,평창읍,2019-03-10,0.003
정선군,정선읍,2019-03-10,0.004
횡성군,횡성읍,2019-03-10,0.002
고성군,상리,2019-03-10,0.002
양양군,양양읍,2019-03-10,0.002
속초시,금호동,2019-03-10,0.006
철원군,갈말읍,2019-03-10,0.004
홍천군,홍천읍,2019-03-10,0.003
영월군,영월읍,2019-03-10,0.002
화천군,화천읍,2019-03-10,0.002
태백시,황지동,2019-03-10,0.004
춘천시,중앙로,2019-03-11,0.003
춘천시,석사동,2019-03-11,0.003
양구군,양구읍,2019-03-11,0.002
원주시,중앙동,2019-03-11,0.004
원주시,반곡동,2019-03-11,0.004
원주시,문막읍,2019-03-11,0.004
강릉시,옥천동,2019-03-11,0.003
동해시,천곡동,2019-03-11,0.002
삼척시,남양동,2019-03-11,0.002
평창군,평창읍,2019-03-11,0.003
정선군,정선읍,2019-03-11,0.004
횡성군,횡성읍,2019-03-11,0.002
고성군,상리,2019-03-11,0.002
양양군,양양읍,2019-03-11,0.002
속초시,금호동,2019-03-11,0.006
철원군,갈말읍,2019-03-11,0.004
홍천군,홍천읍,2019-03-11,0.004
영월군,영월읍,2019-03-11,0.002
화천군,화천읍,2019-03-11,0.002
태백시,황지동,2019-03-11,0.003
춘천시,중앙로,2019-03-12,0.002
춘천시,석사동,2019-03-12,0.003
양구군,양구읍,2019-03-12,0.001
원주시,중앙동,2019-03-12,0.009
원주시,반곡동,2019-03-12,0.002
원주시,문막읍,2019-03-12,0.003
강릉시,옥천동,2019-03-12,0.002
동해시,천곡동,2019-03-12,0.002
삼척시,남양동,2019-03-12,0.002
평창군,평창읍,2019-03-12,1.169
정선군,정선읍,2019-03-12,0.004
횡성군,횡성읍,2019-03-12,0.001
고성군,상리,2019-03-12,0.002
양양군,양양읍,2019-03-12,0.002
속초시,금호동,2019-03-12,0.004
철원군,갈말읍,2019-03-12,0.004
홍천군,홍천읍,2019-03-12,0.003
영월군,영월읍,2019-03-12,0.002
화천군,화천읍,2019-03-12,0.002
태백시,황지동,2019-03-12,1.169
춘천시,중앙로,2019-03-13,0.002
춘천시,석사동,2019-03-13,0.002
양구군,양구읍,2019-03-13,0.006
원주시,중앙동,2019-03-13,0.005
원주시,반곡동,2019-03-13,0.003
원주시,문막읍,2019-03-13,0.003
강릉시,옥천동,2019-03-13,0.003
동해시,천곡동,2019-03-13,0.002
삼척시,남양동,2019-03-13,0.002
평창군,평창읍,2019-03-13,0.002
정선군,정선읍,2019-03-13,0.004
횡성군,횡성읍,2019-03-13,0.001
고성군,상리,2019-03-13,0.002
양양군,양양읍,2019-03-13,0.002
속초시,금호동,2019-03-13,0.004
철원군,갈말읍,2019-03-13,0.004
홍천군,홍천읍,2019-03-13,0.003
영월군,영월읍,2019-03-13,0.002
화천군,화천읍,2019-03-13,0.002
태백시,황지동,2019-03-13,0.002
춘천시,중앙로,2019-03-14,0.003
춘천시,석사동,2019-03-14,0.002
양구군,양구읍,2019-03-14,0.003
원주시,중앙동,2019-03-14,0.004
원주시,반곡동,2019-03-14,0.004
원주시,문막읍,2019-03-14,0.004
강릉시,옥천동,2019-03-14,0.012
동해시,천곡동,2019-03-14,0.007
삼척시,남양동,2019-03-14,0.010
평창군,평창읍,2019-03-14,5.604
정선군,정선읍,2019-03-14,0.004
횡성군,횡성읍,2019-03-14,0.002
고성군,상리,2019-03-14,0.002
양양군,양양읍,2019-03-14,0.002
속초시,금호동,2019-03-14,0.005
철원군,갈말읍,2019-03-14,0.004
홍천군,홍천읍,2019-03-14,0.003
영월군,영월읍,2019-03-14,0.002
화천군,화천읍,2019-03-14,0.002
태백시,황지동,2019-03-14,0.003
춘천시,중앙로,2019-03-15,0.002
춘천시,석사동,2019-03-15,0.002
양구군,양구읍,2019-03-15,0.001
원주시,중앙동,2019-03-15,0.003
원주시,반곡동,2019-03-15,0.002
원주시,문막읍,2019-03-15,0.003
강릉시,옥천동,2019-03-15,0.003
동해시,천곡동,2019-03-15,0.001
삼척시,남양동,2019-03-15,0.003
평창군,평창읍,2019-03-15,0.002
정선군,정선읍,2019-03-15,0.004
횡성군,횡성읍,2019-03-15,0.002
고성군,상리,2019-03-15,0.002
양양군,양양읍,2019-03-15,0.002
속초시,금호동,2019-03-15,0.005
철원군,갈말읍,2019-03-15,0.003
홍천군,홍천읍,2019-03-15,0.003
영월군,영월읍,2019-03-15,1.220
화천군,화천읍,2019-03-15,0.001
태백시,황지동,2019-03-15,0.002
춘천시,중앙로,2019-03-16,0.002
춘천시,석사동,2019-03-16,0.002
양구군,양구읍,2019-03-16,0.002
원주시,중앙동,2019-03-16,0.003
원주시,반곡동,2019-03-16,0.002
원주시,문막읍,2019-03-16,0.003
강릉시,옥천동,2019-03-16,0.003
동해시,천곡동,2019-03-16,0.001
삼척시,남양동,2019-03-16,0.002
평창군,평창읍,2019-03-16,0.002
정선군,정선읍,2019-03-16,0.003
횡성군,횡성읍,2019-03-16,0.001
고성군,상리,2019-03-16,0.002
양양군,양양읍,2019-03-16,0.001
속초시,금호동,2019-03-16,0.006
철원군,갈말읍,2019-03-16,0.003
홍천군,홍천읍,2019-03-16,0.003
영월군,영월읍,2019-03-16,0.002
화천군,화천읍,2019-03-16,0.001
태백시,황지동,2019-03-16,0.004
춘천시,중앙로,2019-03-17,0.002
춘천시,석사동,2019-03-17,0.002
양구군,양구읍,2019-03-17,0.002
원주시,중앙동,2019-03-17,0.003
원주시,반곡동,2019-03-17,0.003
원주시,문막읍,2019-03-17,0.003
강릉시,옥천동,2019-03-17,0.002
동해시,천곡동,2019-03-17,0.001
삼척시,남양동,2019-03-17,0.002
평창군,평창읍,2019-03-17,0.002
정선군,정선읍,2019-03-17,0.003
횡성군,횡성읍,2019-03-17,0.001
고성군,상리,2019-03-17,0.002
양양군,양양읍,2019-03-17,0.001
속초시,금호동,2019-03-17,0.005
철원군,갈말읍,2019-03-17,0.004
홍천군,홍천읍,2019-03-17,0.003
영월군,영월읍,2019-03-17,0.002
화천군,화천읍,2019-03-17,0.001
태백시,황지동,2019-03-17,0.002
춘천시,중앙로,2019-03-18,0.003
춘천시,석사동,2019-03-18,0.003
양구군,양구읍,2019-03-18,0.002
원주시,중앙동,2019-03-18,0.004
원주시,반곡동,2019-03-18,0.004
원주시,문막읍,2019-03-18,0.007
강릉시,옥천동,2019-03-18,0.002
동해시,천곡동,2019-03-18,0.002
삼척시,남양동,2019-03-18,0.002
평창군,평창읍,2019-03-18,0.002
정선군,정선읍,2019-03-18,0.003
횡성군,횡성읍,2019-03-18,0.008
고성군,상리,2019-03-18,0.002
양양군,양양읍,2019-03-18,0.002
속초시,금호동,2019-03-18,0.007
철원군,갈말읍,2019-03-18,0.004
홍천군,홍천읍,2019-03-18,0.003
영월군,영월읍,2019-03-18,0.002
화천군,화천읍,2019-03-18,0.002
태백시,황지동,2019-03-18,0.003
춘천시,중앙로,2019-03-19,0.004
춘천시,석사동,2019-03-19,0.004
양구군,양구읍,2019-03-19,0.004
원주시,중앙동,2019-03-19,0.005
원주시,반곡동,2019-03-19,0.005
원주시,문막읍,2019-03-19,0.004
강릉시,옥천동,2019-03-19,0.003
동해시,천곡동,2019-03-19,0.003
삼척시,남양동,2019-03-19,0.004
평창군,평창읍,2019-03-19,0.003
정선군,정선읍,2019-03-19,0.004
횡성군,횡성읍,2019-03-19,0.003
고성군,상리,2019-03-19,0.003
양양군,양양읍,2019-03-19,0.003
속초시,금호동,2019-03-19,0.006
철원군,갈말읍,2019-03-19,0.005
홍천군,홍천읍,2019-03-19,0.004
영월군,영월읍,2019-03-19,0.003
화천군,화천읍,2019-03-19,0.002
태백시,황지동,2019-03-19,0.004
춘천시,중앙로,2019-03-20,0.003
춘천시,석사동,2019-03-20,0.004
양구군,양구읍,2019-03-20,0.004
원주시,중앙동,2019-03-20,0.004
원주시,반곡동,2019-03-20,0.004
원주시,문막읍,2019-03-20,0.003
강릉시,옥천동,2019-03-20,0.003
동해시,천곡동,2019-03-20,0.003
삼척시,남양동,2019-03-20,0.003
평창군,평창읍,2019-03-20,0.003
정선군,정선읍,2019-03-20,0.004
횡성군,횡성읍,2019-03-20,0.002
고성군,상리,2019-03-20,0.003
양양군,양양읍,2019-03-20,0.002
속초시,금호동,2019-03-20,0.005
철원군,갈말읍,2019-03-20,0.010
홍천군,홍천읍,2019-03-20,0.005
영월군,영월읍,2019-03-20,0.002
화천군,화천읍,2019-03-20,0.002
태백시,황지동,2019-03-20,0.004
춘천시,중앙로,2019-03-21,0.002
춘천시,석사동,2019-03-21,0.002
양구군,양구읍,2019-03-21,0.007
원주시,중앙동,2019-03-21,0.002
원주시,반곡동,2019-03-21,0.002
원주시,문막읍,2019-03-21,0.003
강릉시,옥천동,2019-03-21,0.002
동해시,천곡동,2019-03-21,0.001
삼척시,남양동,2019-03-21,0.002
평창군,평창읍,2019-03-21,0.002
정선군,정선읍,2019-03-21,0.003
횡성군,횡성읍,2019-03-21,0.001
고성군,상리,2019-03-21,0.002
양양군,양양읍,2019-03-21,0.009
속초시,금호동,2019-03-21,0.006
철원군,갈말읍,2019-03-21,0.003
홍천군,홍천읍,2019-03-21,0.003
영월군,영월읍,2019-03-21,0.002
화천군,화천읍,2019-03-21,0.001
태백시,황지동,2019-03-21,0.002
춘천시,중앙로,2019-03-22,0.002
춘천시,석사동,2019-03-22,0.002
양구군,양구읍,2019-03-22,0.001
원주시,중앙동,2019-03-22,0.002
원주시,반곡동,2019-03-22,0.002
원주시,문막읍,2019-03-22,0.003
강릉시,옥천동,2019-03-22,0.002
동해시,천곡동,2019-03-22,0.001
삼척시,남양동,2019-03-22,0.002
평창군,평창읍,2019-03-22,0.002
정선군,정선읍,2019-03-22,1.170
횡성군,횡성읍,2019-03-22,0.001
고성군,상리,2019-03-22,0.002
양양군,양양읍,2019-03-22,0.002
속초시,금호동,2019-03-22,0.004
철원군,갈말읍,2019-03-22,0.003
홍천군,홍천읍,2019-03-22,0.003
영월군,영월읍,2019-03-22,0.002
화천군,화천읍,2019-03-22,0.001
태백시,황지동,2019-03-22,1.169
춘천시,중앙로,2019-03-23,0.002
춘천시,석사동,2019-03-23,0.003
양구군,양구읍,2019-03-23,0.003
원주시,중앙동,2019-03-23,0.003
원주시,반곡동,2019-03-23,0.003
원주시,문막읍,2019-03-23,0.003
강릉시,옥천동,2019-03-23,0.003
동해시,천곡동,2019-03-23,0.002
삼척시,남양동,2019-03-23,0.002
평창군,평창읍,2019-03-23,0.002
정선군,정선읍,2019-03-23,0.003
횡성군,횡성읍,2019-03-23,0.001
고성군,상리,2019-03-23,0.002
양양군,양양읍,2019-03-23,0.002
속초시,금호동,2019-03-23,0.005
철원군,갈말읍,2019-03-23,0.003
홍천군,홍천읍,2019-03-23,0.002
영월군,영월읍,2019-03-23,0.002
화천군,화천읍,2019-03-23,0.002
태백시,황지동,2019-03-23,0.003
춘천시,중앙로,2019-03-24,0.002
춘천시,석사동,2019-03-24,0.003
양구군,양구읍,2019-03-24,0.003
원주시,중앙동,2019-03-24,0.003
원주시,반곡동,2019-03-24,0.003
원주시,문막읍,2019-03-24,0.003
강릉시,옥천동,2019-03-24,0.002
동해시,천곡동,2019-03-24,0.002
삼척시,남양동,2019-03-24,0.002
평창군,평창읍,2019-03-24,0.002
정선군,정선읍,2019-03-24,0.004
횡성군,횡성읍,2019-03-24,0.002
고성군,상리,2019-03-24,0.002
양양군,양양읍,2019-03-24,0.002
속초시,금호동,2019-03-24,0.005
철원군,갈말읍,2019-03-24,0.003
홍천군,홍천읍,2019-03-24,0.003
영월군,영월읍,2019-03-24,0.002
화천군,화천읍,2019-03-24,0.001
태백시,황지동,2019-03-24,0.003
춘천시,중앙로,2019-03-25,0.003
춘천시,석사동,2019-03-25,0.003
양구군,양구읍,2019-03-25,0.003
원주시,중앙동,2019-03-25,0.004
원주시,반곡동,2019-03-25,0.003
원주시,문막읍,2019-03-25,0.003
강릉시,옥천동,2019-03-25,0.003
동해시,천곡동,2019-03-25,0.003
삼척시,남양동,2019-03-25,0.003
평창군,평창읍,2019-03-25,0.002
정선군,정선읍,2019-03-25,0.004
횡성군,횡성읍,2019-03-25,0.002
고성군,상리,2019-03-25,0.002
양양군,양양읍,2019-03-25,0.003
속초시,금호동,2019-03-25,0.004
철원군,갈말읍,2019-03-25,0.004
홍천군,홍천읍,2019-03-25,0.003
영월군,영월읍,2019-03-25,0.002
화천군,화천읍,2019-03-25,0.002
태백시,황지동,2019-03-25,0.003
춘천시,중앙로,2019-03-26,0.003
춘천시,석사동,2019-03-26,0.003
양구군,양구읍,2019-03-26,0.007
원주시,중앙동,2019-03-26,0.004
원주시,반곡동,2019-03-26,0.003
원주시,문막읍,2019-03-26,0.003
강릉시,옥천동,2019-03-26,0.002
동해시,천곡동,2019-03-26,0.002
삼척시,남양동,2019-03-26,0.003
평창군,평창읍,2019-03-26,1.169
정선군,정선읍,2019-03-26,0.004
횡성군,횡성읍,2019-03-26,0.002
고성군,상리,2019-03-26,0.003
양양군,양양읍,2019-03-26,0.003
속초시,금호동,2019-03-26,0.005
철원군,갈말읍,2019-03-26,0.004
홍천군,홍천읍,2019-03-26,0.003
영월군,영월읍,2019-03-26,0.002
화천군,화천읍,2019-03-26,0.005
태백시,황지동,2019-03-26,0.003
춘천시,중앙로,2019-03-27,0.004
춘천시,석사동,2019-03-27,0.004
양구군,양구읍,2019-03-27,0.004
원주시,중앙동,2019-03-27,0.004
원주시,반곡동,2019-03-27,0.004
원주시,문막읍,2019-03-27,0.004
강릉시,옥천동,2019-03-27,0.002
동해시,천곡동,2019-03-27,0.007
삼척시,남양동,2019-03-27,0.012
평창군,평창읍,2019-03-27,0.003
정선군,정선읍,2019-03-27,0.005
횡성군,횡성읍,2019-03-27,0.002
고성군,상리,2019-03-27,0.002
양양군,양양읍,2019-03-27,0.002
속초시,금호동,2019-03-27,0.004
철원군,갈말읍,2019-03-27,0.004
홍천군,홍천읍,2019-03-27,0.004
영월군,영월읍,2019-03-27,1.170
화천군,화천읍,2019-03-27,0.002
태백시,황지동,2019-03-27,0.003
춘천시,중앙로,2019-03-28,0.002
춘천시,석사동,2019-03-28,0.003
양구군,양구읍,2019-03-28,0.001
원주시,중앙동,2019-03-28,0.003
원주시,반곡동,2019-03-28,0.002
원주시,문막읍,2019-03-28,0.003
강릉시,옥천동,2019-03-28,0.001
동해시,천곡동,2019-03-28,0.001
삼척시,남양동,2019-03-28,0.001
평창군,평창읍,2019-03-28,0.002
정선군,정선읍,2019-03-28,0.003
횡성군,횡성읍,2019-03-28,0.002
고성군,상리,2019-03-28,0.002
양양군,양양읍,2019-03-28,0.002
속초시,금호동,2019-03-28,0.004
철원군,갈말읍,2019-03-28,0.003
홍천군,홍천읍,2019-03-28,0.003
영월군,영월읍,2019-03-28,0.002
화천군,화천읍,2019-03-28,0.001
태백시,황지동,2019-03-28,0.002
춘천시,중앙로,2019-03-29,0.002
춘천시,석사동,2019-03-29,0.003
양구군,양구읍,2019-03-29,0.002
원주시,중앙동,2019-03-29,0.003
원주시,반곡동,2019-03-29,0.003
원주시,문막읍,2019-03-29,0.004
강릉시,옥천동,2019-03-29,0.002
동해시,천곡동,2019-03-29,0.001
삼척시,남양동,2019-03-29,0.002
평창군,평창읍,2019-03-29,0.002
정선군,정선읍,2019-03-29,0.003
횡성군,횡성읍,2019-03-29,0.002
고성군,상리,2019-03-29,0.002
양양군,양양읍,2019-03-29,0.002
속초시,금호동,2019-03-29,0.005
철원군,갈말읍,2019-03-29,0.003
홍천군,홍천읍,2019-03-29,0.003
영월군,영월읍,2019-03-29,0.002
화천군,화천읍,2019-03-29,0.002
태백시,황지동,2019-03-29,0.003
춘천시,중앙로,2019-03-30,0.002
춘천시,석사동,2019-03-30,0.002
양구군,양구읍,2019-03-30,0.001
원주시,중앙동,2019-03-30,0.002
원주시,반곡동,2019-03-30,0.001
원주시,문막읍,2019-03-30,0.003
강릉시,옥천동,2019-03-30,0.001
동해시,천곡동,2019-03-30,0.001
삼척시,남양동,2019-03-30,0.002
평창군,평창읍,2019-03-30,0.002
정선군,정선읍,2019-03-30,0.003
횡성군,횡성읍,2019-03-30,0.001
고성군,상리,2019-03-30,0.002
양양군,양양읍,2019-03-30,0.002
속초시,금호동,2019-03-30,0.004
철원군,갈말읍,2019-03-30,0.003
홍천군,홍천읍,2019-03-30,0.003
영월군,영월읍,2019-03-30,0.002
화천군,화천읍,2019-03-30,0.001
태백시,황지동,2019-03-30,0.002
춘천시,중앙로,2019-03-31,0.002
춘천시,석사동,2019-03-31,0.002
양구군,양구읍,2019-03-31,0.001
원주시,중앙동,2019-03-31,0.002
원주시,반곡동,2019-03-31,0.002
원주시,문막읍,2019-03-31,0.003
강릉시,옥천동,2019-03-31,0.001
동해시,천곡동,2019-03-31,0.001
삼척시,남양동,2019-03-31,0.002
평창군,평창읍,2019-03-31,0.002
정선군,정선읍,2019-03-31,0.003
횡성군,횡성읍,2019-03-31,0.001
고성군,상리,2019-03-31,0.002
양양군,양양읍,2019-03-31,0.002
속초시,금호동,2019-03-31,0.004
철원군,갈말읍,2019-03-31,0.003
홍천군,홍천읍,2019-03-31,0.002
영월군,영월읍,2019-03-31,0.002
화천군,화천읍,2019-03-31,0.001
태백시,황지동,2019-03-31,0.002
