지역,측정소명,날짜,일산화탄소 농도
춘천시,중앙로,2017-08-12,0.2
춘천시,석사동,2017-08-12,0.2
원주시,중앙동,2017-08-12,0.3
원주시,반곡동,2017-08-12,0.2
강릉시,옥천동,2017-08-12,0.2
동해시,천곡동,2017-08-12,0.2
삼척시,남양동,2017-08-12,0.2
춘천시,중앙로,2017-08-13,0.2
춘천시,석사동,2017-08-13,0.1
원주시,중앙동,2017-08-13,0.3
원주시,반곡동,2017-08-13,0.1
강릉시,옥천동,2017-08-13,0.2
동해시,천곡동,2017-08-13,0.2
삼척시,남양동,2017-08-13,0.1
춘천시,중앙로,2017-08-14,0.3
춘천시,석사동,2017-08-14,0.1
원주시,중앙동,2017-08-14,0.3
원주시,반곡동,2017-08-14,0.1
강릉시,옥천동,2017-08-14,0.2
동해시,천곡동,2017-08-14,0.3
삼척시,남양동,2017-08-14,0.1
춘천시,중앙로,2017-08-15,0.2
춘천시,석사동,2017-08-15,0.2
원주시,중앙동,2017-08-15,0.3
원주시,반곡동,2017-08-15,0.1
강릉시,옥천동,2017-08-15,0.2
동해시,천곡동,2017-08-15,0.5
삼척시,남양동,2017-08-15,0.1
춘천시,중앙로,2017-08-16,0.2
춘천시,석사동,2017-08-16,0.2
원주시,중앙동,2017-08-16,0.3
원주시,반곡동,2017-08-16,0.1
강릉시,옥천동,2017-08-16,0.2
동해시,천곡동,2017-08-16,0.3
삼척시,남양동,2017-08-16,0.3
춘천시,중앙로,2017-08-17,0.3
춘천시,석사동,2017-08-17,0.3
원주시,중앙동,2017-08-17,0.3
원주시,반곡동,2017-08-17,0.1
강릉시,옥천동,2017-08-17,0.2
동해시,천곡동,2017-08-17,0.2
삼척시,남양동,2017-08-17,0.2
춘천시,중앙로,2017-08-18,0.3
춘천시,석사동,2017-08-18,0.4
원주시,중앙동,2017-08-18,0.4
원주시,반곡동,2017-08-18,0.2
강릉시,옥천동,2017-08-18,0.2
동해시,천곡동,2017-08-18,0.3
삼척시,남양동,2017-08-18,0.1
춘천시,중앙로,2017-08-19,0.2
춘천시,석사동,2017-08-19,0.4
원주시,중앙동,2017-08-19,0.4
원주시,반곡동,2017-08-19,0.2
강릉시,옥천동,2017-08-19,0.2
동해시,천곡동,2017-08-19,0.4
삼척시,남양동,2017-08-19,0.1
춘천시,중앙로,2017-08-20,0.2
춘천시,석사동,2017-08-20,0.5
원주시,중앙동,2017-08-20,0.3
원주시,반곡동,2017-08-20,0.1
강릉시,옥천동,2017-08-20,0.3
동해시,천곡동,2017-08-20,0.5
삼척시,남양동,2017-08-20,0.1
춘천시,중앙로,2017-08-21,0.2
춘천시,석사동,2017-08-21,0.5
원주시,중앙동,2017-08-21,0.3
원주시,반곡동,2017-08-21,0.1
강릉시,옥천동,2017-08-21,0.3
동해시,천곡동,2017-08-21,0.5
삼척시,남양동,2017-08-21,0.2
춘천시,중앙로,2017-08-22,0.3
춘천시,석사동,2017-08-22,0.6
원주시,중앙동,2017-08-22,0.4
원주시,반곡동,2017-08-22,0.2
강릉시,옥천동,2017-08-22,0.3
동해시,천곡동,2017-08-22,0.6
삼척시,남양동,2017-08-22,0.4
춘천시,중앙로,2017-08-23,0.3
춘천시,석사동,2017-08-23,0.5
원주시,중앙동,2017-08-23,0.4
원주시,반곡동,2017-08-23,0.2
강릉시,옥천동,2017-08-23,0.3
동해시,천곡동,2017-08-23,0
삼척시,남양동,2017-08-23,0.4
춘천시,중앙로,2017-08-24,0.2
춘천시,석사동,2017-08-24,0.3
원주시,중앙동,2017-08-24,0.4
원주시,반곡동,2017-08-24,0.2
강릉시,옥천동,2017-08-24,0.2
동해시,천곡동,2017-08-24,0
삼척시,남양동,2017-08-24,0.3
춘천시,중앙로,2017-08-25,0.3
춘천시,석사동,2017-08-25,0.4
원주시,중앙동,2017-08-25,0.5
원주시,반곡동,2017-08-25,0.4
강릉시,옥천동,2017-08-25,0.3
동해시,천곡동,2017-08-25,0.3
삼척시,남양동,2017-08-25,0.3
춘천시,중앙로,2017-08-26,0.3
춘천시,석사동,2017-08-26,0.3
원주시,중앙동,2017-08-26,0.3
원주시,반곡동,2017-08-26,0.3
강릉시,옥천동,2017-08-26,0.3
동해시,천곡동,2017-08-26,0.0
삼척시,남양동,2017-08-26,0.2
춘천시,중앙로,2017-08-27,0.2
춘천시,석사동,2017-08-27,0.4
원주시,중앙동,2017-08-27,0.2
원주시,반곡동,2017-08-27,0.2
강릉시,옥천동,2017-08-27,0.3
동해시,천곡동,2017-08-27,0.0
삼척시,남양동,2017-08-27,0.3
춘천시,중앙로,2017-08-28,0.3
춘천시,석사동,2017-08-28,0.4
원주시,중앙동,2017-08-28,0.3
원주시,반곡동,2017-08-28,0.3
강릉시,옥천동,2017-08-28,0.4
동해시,천곡동,2017-08-28,0.0
삼척시,남양동,2017-08-28,0.4
춘천시,중앙로,2017-08-29,0.3
춘천시,석사동,2017-08-29,0.4
원주시,중앙동,2017-08-29,0.3
원주시,반곡동,2017-08-29,0.2
강릉시,옥천동,2017-08-29,0.3
동해시,천곡동,2017-08-29,0.0
삼척시,남양동,2017-08-29,0.4
춘천시,중앙로,2017-08-30,0.3
춘천시,석사동,2017-08-30,0.4
원주시,중앙동,2017-08-30,0.3
원주시,반곡동,2017-08-30,0.2
강릉시,옥천동,2017-08-30,0.4
동해시,천곡동,2017-08-30,0.0
삼척시,남양동,2017-08-30,0
춘천시,중앙로,2017-08-31,0.4
춘천시,석사동,2017-08-31,0.5
원주시,중앙동,2017-08-31,0.3
원주시,반곡동,2017-08-31,0.3
강릉시,옥천동,2017-08-31,0.4
동해시,천곡동,2017-08-31,0.0
삼척시,남양동,2017-08-31,0
